co_id,ticker_full,name,board,commodities,listing_date,status,covers_listing,first_price_date,last_price_date,trading_days,milestones_filled,consolidated,split_factor,n_splits,div_total,vol_base,mcap_30jun2026,px_base,px_d7,px_d30,px_d90,px_d180,px_d365,px_d730,px_d1095,px_d1825,px_d2555,px_d3650,px_d5475,px_latest,ret_d7,ret_d30,ret_d90,ret_d180,ret_d365,ret_d730,ret_d1095,ret_d1825,ret_d2555,ret_d3650,ret_d5475,ret_latest
BLA0018,BKI.TO,Black Iron Inc.,TSX,Iron,2011-03-28,ok,True,2011-03-29,2026-08-25,3867.0,11.0,False,1.0,0.0,0.0,265960.0,36555248.18,1.414,1.4,1.26,0.75,0.65,0.51,0.24,0.16,0.04,0.1,0.42,0.11,0.095,-0.0099,-0.1089,-0.4696,-0.5403,-0.6393,-0.8303,-0.8868,-0.9717,-0.9293,-0.703,-0.9222,-0.9328
X-1428,BGAU.TO,Blossom Gold Inc.,TSX,Gold | Silver,2026-02-02,ok,True,2026-02-12,2026-08-25,134.0,4.0,False,1.0,0.0,0.0,117980.0,254024455.77,1.864,1.7,2.21,1.95,1.69,,,,,,,,1.82,-0.088,0.1856,0.0461,-0.0933,,,,,,,,-0.0236
V-04982,BNKR.TO,Bunker Hill Mining Corp.,TSX,Silver | Lead | Zinc,2026-03-25,ok,True,2026-03-25,2026-08-25,106.0,3.0,False,1.0,0.0,0.0,24200.0,215726122.5,5.646,5.9,5.62,5.19,,,,,,,,,5.03,0.045,-0.0046,-0.0808,,,,,,,,,-0.1091
CAM0009,CCO.TO,Cameco Corporation,TSX,Uranium,1991-07-04,no price near listing,False,1995-01-12,2026-08-25,7946.0,4.0,False,6.0,2.0,5.9168,,62960647299.68,,,,,,,,,7.7267,4.9785,3.9259,35.6356,147.82,,,,,,,,,,,,
CAN0049,CCM.TO,Canagold Resources Ltd.,TSX,Gold,1994-11-03,no price near listing,False,1996-04-03,2026-08-25,7636.0,6.0,True,0.2,1.0,0.0,,117672371.3,,,,,,,9.0,4.15,1.25,0.85,3.3,0.8,0.59,,,,,,,,,,,,
CAP0012,CS.TO,Capstone Copper Corp.,TSX,Copper,2004-07-28,ok,True,1996-08-08,2026-08-25,7549.0,11.0,False,1.0,0.0,0.0,55460.0,9952201968.06,0.492,0.5,0.53,0.87,1.05,0.78,1.48,3.04,3.03,3.58,3.0,0.55,16.54,0.0163,0.0772,0.7683,1.1341,0.5854,2.0081,5.1789,5.1585,6.2764,5.0976,0.1179,32.6179
CEN0015,CG.TO,Centerra Gold Inc.,TSX,Gold | Copper,2004-06-29,ok,True,2004-06-30,2026-08-25,5561.0,11.0,False,3.0,1.0,2.93,1791420.0,4451938658.31,3.6817,3.6252,3.4756,4.0307,5.2496,4.6582,8.4717,7.639,3.8521,12.1906,4.7898,8.0434,33.45,-0.0153,-0.056,0.0948,0.4259,0.2652,1.301,1.0749,0.0463,2.3111,0.301,1.1847,8.0855
CEN0021,CNT.TO,Century Global Commodities Corporation,TSX,Iron,2011-09-19,no price near listing,False,2012-01-24,2026-08-25,3661.0,7.0,False,1.0,0.0,0.0,,4137191.975,,,,,1.97,1.05,0.41,0.42,0.19,0.2,0.25,,0.04,,,,,,,,,,,,
CHA0029,CIA.TO,Champion Iron Limited,TSX,Iron,2014-03-31,no price near listing,False,2014-07-02,2026-08-25,3049.0,8.0,False,1.0,0.0,0.82,,2189783465.02,,,,0.327,0.1807,0.1248,0.1592,0.8863,1.7725,4.2764,6.0145,,3.66,,,,,,,,,,,,
JIN0001,CGG.TO,China Gold International Resources Corp. Ltd.,TSX,Gold | Copper,2006-10-06,ok,True,2003-10-09,2026-08-25,5744.0,11.0,False,1.0,0.0,1.713,33500.0,8911381167.44,0.9667,0.9716,1.0124,1.1022,1.9268,1.9921,0.4735,1.1757,2.3514,2.3432,2.6535,3.0028,46.1,0.0051,0.0473,0.1402,0.9932,1.0607,-0.5102,0.2162,1.4324,1.4239,1.7449,2.1062,46.688
