ticker_full,co_id,name,board,mcap,isin,cusip,sedar_issuer_no,former_names,stage,incorporation_jurisdiction
ELO.TO,V-00622,Eloro Resources Ltd.,TSX,197966153.69,,,,,,
AGMR.TO,V-04853,Silver Mountain Resources Inc.,TSX,194546084.38,,,,,,
WPG.V,V-02229,West Point Gold Corp.,TSXV,193071335.18,,,,,,
PPP.V,V-02692,Prospector Metals Corp.,TSXV,191841738.0,,,,,,
SALT.V,V-04041,Atlas Salt Inc.,TSXV,191436052.5,,,,,,
MOLY.TO,X-1325,Greenland Resources Inc.,TSX,189848030.4,,,,,,
NCF.TO,NOR0082,Northcliff Resources Ltd.,TSX,188495298.3,,,,,,
GCU.TO,EXC0014,Gunnison Copper Corp.,TSX,186904797.37,,,,,,
SSV.V,V-01830,Southern Silver Exploration Corp.,TSXV,186299216.1,,,,,,
NILI.V,V-00480,Surge Battery Metals Inc.,TSXV,184983122.01,,,,,,
BMM.V,V-02234,Black Mammoth Metals Corporation,TSXV,184712515.13,,,,,,
AURO.V,V-04678,Auro Metals Inc.,TSXV,184561058.88,,,,,,
VMXX.V,V-03919,Valhalla Metals Inc.,TSXV,184361399.22,,,,,,
AGX.V,V-03091,Silver X Mining Corp.,TSXV,183511516.8,,,,,,
BIG.V,V-04479,Hercules Metals Corp.,TSXV,182503115.76,,,,,,
EM.V,V-5099,Errington Metals Corp.,TSXV,182141641.16,,,,,,
GHRT.V,V-05027,Greenheart Gold Inc.,TSXV,179996351.64,,,,,,
KTO.V,V-04033,K2 Gold Corporation,TSXV,176834361.23,,,,,,
KLD.V,V-04594,Kenorland Minerals Ltd.,TSXV,172891601.28,,,,,,
FTZ.V,V-00457,Fitzroy Minerals Inc.,TSXV,170668861.48,,,,,,
FEO.V,V-01479,Oceanic Iron Ore Corp.,TSXV,170362796.1,,,,,,
FPC.V,V-03634,Falco Resources Ltd.,TSXV,169921282.6,,,,,,
MGG.V,V-03086,Minaurum Silver Inc.,TSXV,166833266.18,,,,,,
SPA.V,V-01800,Spanish Mountain Gold Ltd.,TSXV,165464924.625,,,,,,
WM.TO,WAL0006,Wallbridge Mining Company Limited,TSX,164776491.09,,,,,,
APGO.V,V-00100,Apollo Silver Corp.,TSXV,164275277.4,,,,,,
AXO.V,V-5066,Axo Metals Corp.,TSXV,162261264.75,,,,,,
ROCK.V,V-00266,Trident Resources Corp.,TSXV,159437090.73,,,,,,
LAM.TO,LAR0004,Laramide Resources Ltd.,TSX,159267080.0,,,,,,
GRSL.V,V-04323,GR Silver Mining Ltd.,TSXV,157903315.23,,,,,,
NIM.V,V-00933,Nicola Mining Inc.,TSXV,156077482.12,,,,,,
GG.V,V-02849,Golconda Gold Ltd.,TSXV,155654969.16,,,,,,
